Account Name,Industry,Annual Revenue,Number of Employees,Phone,City,State,Country
TechnoForge Solutions,Manufacturing,50000000,200,+91-22-45678901,Mumbai,Maharashtra,India
RetailMax India,Retail,120000000,500,+91-11-23456789,Delhi,Delhi,India
LogiTrack Systems,Logistics,30000000,80,+91-44-34567890,Chennai,Tamil Nadu,India
CloudNine Pvt Ltd,Technology,75000000,150,+91-80-56789012,Bangalore,Karnataka,India
Bharat Auto Parts,Manufacturing,95000000,350,+91-20-67890123,Pune,Maharashtra,India
MediCare Plus,Healthcare,60000000,180,+91-40-78901234,Hyderabad,Telangana,India
FreshCart Online,Retail,45000000,120,+91-80-89012345,Bangalore,Karnataka,India
Velocity Logistics,Logistics,38000000,95,+91-22-90123456,Mumbai,Maharashtra,India
InnovateTech Labs,Technology,85000000,220,+91-20-12345678,Pune,Maharashtra,India
GreenLeaf Organics,Retail,25000000,60,+91-11-23456700,Delhi,Delhi,India
Apex Manufacturing Co,Manufacturing,110000000,400,+91-79-34567800,Ahmedabad,Gujarat,India
DataStream Analytics,Technology,55000000,130,+91-80-45678900,Bangalore,Karnataka,India
QuickShip India,Logistics,42000000,110,+91-44-56789000,Chennai,Tamil Nadu,India
HealthFirst Diagnostics,Healthcare,70000000,200,+91-22-67890100,Mumbai,Maharashtra,India
NexGen Retail,Retail,35000000,90,+91-33-78901200,Kolkata,West Bengal,India
PrecisionTools India,Manufacturing,88000000,300,+91-20-89012300,Pune,Maharashtra,India
CyberShield Security,Technology,65000000,160,+91-12-90123400,Gurugram,Haryana,India
SafeHaul Transporters,Logistics,28000000,75,+91-79-12345600,Ahmedabad,Gujarat,India
VitalCare Hospitals,Healthcare,150000000,600,+91-80-23456700,Bangalore,Karnataka,India
UrbanStyle Fashion,Retail,40000000,100,+91-22-34567800,Mumbai,Maharashtra,India
SteelForce Industries,Manufacturing,130000000,450,+91-657-4567890,Jamshedpur,Jharkhand,India
CloudFirst Solutions,Technology,48000000,115,+91-40-56789000,Hyderabad,Telangana,India
RapidMove Couriers,Logistics,22000000,55,+91-11-67890100,Delhi,Delhi,India
WellnessHub India,Healthcare,35000000,85,+91-44-78901200,Chennai,Tamil Nadu,India
MegaMart Stores,Retail,95000000,280,+91-20-89012300,Pune,Maharashtra,India
